mes,trafego,trials,novos_pagantes,clientes_ativos,cust_lite,cust_trader,cust_pro,mrr,marketing,custo_ia,taxas_pag,cogs,folha,infra,opex_total,lucro_bruto,ebitda,depreciacao,impostos,lucro_liquido,caixa,arpu,ltv,cac
2025-11,1000,50,4,50,25,15,10,4822.5,1000.0,250.0,144.67,1394.68,16800.0,709.0,17509.0,4427.82,-13081.18,133.33,0.0,-13214.51,28785.49,96.45,2411.25,250.0
2025-12,1200,60,6,54,27,16,11,5208.3,1000.0,270.0,156.25,1426.25,16800.0,709.0,17509.0,4782.05,-12726.95,133.33,0.0,-12860.28,15925.21,96.45,2411.25,200.0
2026-01,1440,72,8,60,30,18,12,5771.57,1000.0,299.2,173.15,1472.35,16800.0,709.0,17509.0,5299.22,-12209.78,133.33,0.0,-12343.11,3582.1,96.45,2411.25,166.67
2026-02,1728,86,10,67,34,20,13,6505.21,1000.0,337.23,195.16,1532.39,16800.0,709.0,17509.0,5972.82,-11536.18,133.33,0.0,-11669.52,-8087.42,96.45,2411.25,142.86
2026-03,2073,104,14,79,39,24,16,7595.3,1000.0,393.74,227.86,1621.6,16800.0,709.0,17509.0,6973.7,-10535.3,133.33,0.0,-10668.64,-18756.06,96.45,2411.25,119.05
2026-04,2488,124,19,95,47,28,19,9124.04,1139.29,472.99,273.72,1886.01,16800.0,709.0,17509.0,8377.32,-9131.68,133.33,0.0,-9265.01,-28021.07,96.45,2411.25,100.64
2026-05,2985,149,22,113,56,34,23,10880.97,1368.61,564.07,326.43,2259.11,16800.0,709.0,17509.0,9990.47,-7518.53,133.33,0.0,-7651.86,-35672.93,96.45,2411.25,90.46
2026-06,3583,179,27,135,68,41,27,13049.88,1632.15,676.51,391.5,2700.15,16800.0,709.0,17509.0,11981.88,-5527.12,133.33,0.0,-5660.46,-41333.39,96.45,2411.25,83.09
2026-07,4299,215,32,162,81,49,32,15614.29,1957.48,809.45,468.43,3235.36,16800.0,709.0,17509.0,14336.41,-3172.59,133.33,0.0,-3305.92,-44639.31,96.45,2411.25,78.15
2026-08,5159,258,39,194,97,58,39,18751.27,2342.14,972.07,562.54,3876.75,16800.0,709.0,17509.0,17216.66,-292.34,133.33,0.0,-425.68,-45064.98,96.45,2411.25,74.25
2026-09,6191,310,46,233,116,70,47,22437.92,2812.69,1163.19,673.14,4649.02,16800.0,709.0,17509.0,20601.59,3092.59,133.33,185.56,2773.7,-42291.28,96.45,2411.25,71.6
2026-10,7430,372,56,279,140,84,56,26941.6,3365.69,1396.66,808.25,5570.6,30240.0,709.0,30949.0,24736.69,-6212.31,133.33,0.0,-6345.64,-48636.93,96.45,2411.25,69.32
2026-11,8916,446,67,335,168,101,67,32326.09,4041.24,1675.8,969.78,6686.82,30240.0,709.0,30949.0,29680.51,-1268.49,133.33,0.0,-1401.82,-50038.75,96.45,2411.25,65.49
2026-12,10699,535,80,402,201,121,80,38749.04,4848.91,2008.76,1162.47,8020.15,30240.0,709.0,30949.0,35577.81,4628.81,133.33,277.73,4217.75,-45821.0,96.45,2411.25,63.11
2027-01,12839,642,96,482,241,145,96,46458.28,5812.36,2408.41,1393.75,9614.52,30240.0,709.0,30949.0,42656.12,11707.12,133.33,702.43,10871.36,-34949.64,96.45,2411.25,61.65
2027-02,15407,770,116,578,289,174,116,55788.15,6968.74,2892.08,1673.64,11534.46,30240.0,709.0,30949.0,51222.43,20273.43,133.33,1216.41,18923.69,-16025.95,96.45,2411.25,60.73
2027-03,18488,924,139,694,347,208,139,66963.17,8368.22,3471.39,2008.9,13848.51,30240.0,709.0,30949.0,61482.89,30533.89,133.33,1832.03,28568.52,12542.57,96.45,2411.25,60.43
