mes,trafego_total,trafego_pago,trafego_organico,trials_total,trials_pagos,trials_organicos,novos_pagantes_total,novos_ads,novos_organicos,novos_afiliados,reativacoes,taxa_trafego_trial,taxa_trial_pago,eficiencia_time,usuarios_ativos,usuarios_lite,usuarios_trader,usuarios_pro,churn_usuarios,churn_mrr,upgrades_lite_trader,expansion_mrr,mrr_cohort_m0,cogs_recorrente,churn_mrr_cohort_m0,receita_bruta,receita_assinaturas,receita_b2b,receita_lite,receita_trader,receita_pro,mrr,arr,arpu,crescimento_mrr_mom,crescimento_mrr_yoy,net_new_mrr,impostos,aliquota_efetiva,taxas_pagamento,inadimplencia,chargeback,total_deducoes,receita_liquida,custo_ia_lite,custo_ia_trader,custo_ia_pro,custo_ia_total,comissao_afiliados,custo_suporte_variavel,total_cogs,margem_bruta,margem_bruta_pct,custo_infra_fixo,infra_tier_ativo,headcount_total,headcount_fundadores,headcount_dev,headcount_cs,custo_pessoal,salarios_brutos,encargos,gasto_marketing,gasto_instagram,gasto_facebook,gasto_youtube,gasto_google,cpc_blended,custo_escritorio,custo_contabilidade,despesas_viagens,despesas_conselho,despesas_freelancer,despesas_beneficios,total_opex,margem_contribuicao,margem_contribuicao_pct,ebitda,ebitda_margin,depreciacao,ebit,ebit_margin,lucro_liquido,margem_liquida,fluxo_operacional,fluxo_investimento,fluxo_financiamento,aportes_capital,capex,distribuicao_lucros,caixa,burn_rate,runway_meses,ltv,cac_blended,cac_paid,ltv_cac,payback_meses,payback_semanas,vida_media_cliente,churn_rate,retention_rate,regra_40,burn_multiple,trafego_potencial_perdido,saturacao_mercado
1,1080.0240444209355,742.5742574257425,337.44978699519294,59.941796280452714,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,509.5,36.5,0.0,749.2,0.0,0.0,279.6,299.70000000000005,169.9,749.2,8990.400000000001,93.65,0.0,0.0,0.0,44.952,0.06,21.593817,41.20600000000001,3.7460000000000004,111.49781700000001,637.702183,10.0,13.5,13.0,36.5,0.0,0.0,36.5,601.202183,80.2458866791244,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-1758.7978170000001,-234.756782835024,0.041666666666666664,-1758.8394836666669,0.0,-1758.8394836666669,-234.76234432283326,-1758.7978170000001,-1.0,0.0,2000.0,-1.0,0.0,4240.202182999999,1759.7978170000001,2.602795488216892,626.2522739583334,500.0,0.0,1.2525045479166668,6.653335788037217,0.0,0.0,0.12,0.88,-234.756782835024,0.0,0.0,0.0
2,1012.1189006558923,742.5742574257425,269.5446432301498,56.54653909220056,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.56,10.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,919.0,0.0,0.0,349.5,399.6,169.9,919.0,11028.0,91.9,0.0,0.0,0.0,55.14,0.06,26.487877500000003,50.54500000000001,4.595,136.7678775,782.2321225000001,12.5,18.0,13.0,43.5,0.0,0.0,43.5,738.7321225000001,80.38434412404789,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-1621.2678775,-176.41652638737756,0.041666666666666664,-1621.3095441666667,0.0,-1621.3095441666667,-176.42106030105188,-1621.2678775,0.0,0.0,2000.0,0.0,0.0,4618.934305499999,1621.2678775,1.9217534035781147,623.4026350210971,750.0,0.0,0.8312035133614628,10.152529951748509,0.0,0.0,0.1185,0.8815,-153.75235126724942,0.0,31.5,0.0
3,1268.7735481594432,742.5742574257425,526.1992907337008,69.3792714673781,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.62,13.0,6.0,5.0,2.0,1.0,91.9,0.0,0.0,0.0,63.5,0.0,1258.7,0.0,0.0,419.40000000000003,499.5,339.8,1258.7,15104.400000000001,96.82307692307693,0.0,0.0,0.0,75.522,0.06,36.278880750000006,69.22850000000001,6.293500000000001,187.32288075000002,1071.37711925,15.0,22.5,26.0,63.5,0.0,0.0,63.5,1007.8771192500001,80.07286241757369,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-1352.12288075,-107.42217214189242,0.041666666666666664,-1352.1645474166667,0.0,-1352.1645474166667,-107.42548243558167,-1352.12288075,0.0,0.0,2000.0,0.0,0.0,5266.811424749999,1352.12288075,2.173225262946152,662.6411040433926,375.0,0.0,1.7670429441157136,4.836899168449894,0.0,0.0,0.11699999999999999,0.883,-70.45808073819273,0.0,36.067499999999995,0.0
4,1257.3144306825134,742.5742574257425,514.740173256771,68.80631559353162,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.6799999999999999,17.0,8.0,6.0,3.0,1.0,96.82307692307693,0.0,0.0,0.0,86.0,0.0,1668.3000000000002,0.0,0.0,559.2,599.4000000000001,509.70000000000005,1668.3000000000002,20019.600000000002,98.13529411764706,0.0,0.0,0.0,100.09800000000001,0.06,48.08457675000001,91.75650000000002,8.341500000000002,248.28057675000002,1420.0194232500003,20.0,27.0,39.0,86.0,0.0,0.0,86.0,1334.0194232500003,79.9628018491878,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-1025.9805767499997,-61.49856601030987,0.041666666666666664,-1026.0222434166665,0.0,-1026.0222434166665,-61.501063562708524,-1025.9805767499997,0.0,0.0,2000.0,0.0,0.0,6240.830848,1025.9805767499997,2.5514435192150446,679.4089244970718,300.0,0.0,2.2646964149902393,3.8230327918128375,0.0,0.0,0.11549999999999999,0.8845000000000001,-28.957054927446592,0.0,41.29728749999998,0.0
5,1360.8847574565052,742.5742574257425,618.3105000307628,73.9848319322312,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.74,21.0,11.0,7.0,3.0,1.0,98.13529411764706,0.0,0.0,0.0,98.0,0.0,1977.9000000000003,0.0,0.0,768.9000000000001,699.3000000000001,509.70000000000005,1977.9000000000003,23734.800000000003,94.1857142857143,0.0,0.0,0.0,118.67400000000002,0.06,57.008022750000016,108.78450000000004,9.889500000000002,294.3560227500001,1683.5439772500004,27.5,31.5,39.0,98.0,0.0,0.0,98.0,1585.5439772500004,80.16300001263967,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-774.4560227499996,-39.155469070731556,0.041666666666666664,-774.4976894166663,0.0,-774.4976894166663,-39.15757568212074,-774.4560227499996,0.0,0.0,2000.0,0.0,0.0,7466.37482525,774.4560227499996,3.0375812958706265,662.2990715329994,300.0,0.0,2.207663571776665,3.9733997229940274,0.0,0.0,0.11399999999999999,0.886,-20.597655727807616,0.0,47.285394187499946,0.0
6,1364.2663193794456,742.5742574257425,621.6920619537029,74.15391002837822,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.8,25.0,12.0,9.0,4.0,2.0,188.3714285714286,0.0,0.0,0.0,122.5,0.0,2417.5,0.0,0.0,838.8000000000001,899.1,679.6,2417.5,29010.0,96.7,0.0,0.0,0.0,145.04999999999998,0.06,69.67839375,132.9625,12.0875,359.77839374999996,2057.72160625,30.0,40.5,52.0,122.5,0.0,0.0,122.5,1935.2216062500001,80.05053179937953,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-424.77839374999985,-17.570978024819023,0.041666666666666664,-424.82006041666654,0.0,-424.82006041666654,-17.572701568424677,-424.77839374999985,0.0,0.0,2000.0,0.0,0.0,9041.5964315,424.77839374999985,3.6421335071500502,688.0787933333335,250.0,0.0,2.7523151733333338,3.229604289149611,0.0,0.0,0.11249999999999999,0.8875,4.654614775625873,0.0,54.141776344687514,0.0
7,1433.8419824704756,742.5742574257425,691.2677250447332,77.63269318292973,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.86,30.0,15.0,11.0,4.0,2.0,193.4,0.0,0.0,0.0,139.0,0.0,2827.0,0.0,0.0,1048.5,1098.9,679.6,2827.0,33924.0,94.23333333333333,0.0,0.0,0.0,169.62,0.06,81.48120750000001,155.485,14.135,420.7212075,2406.2787925000002,37.5,49.5,52.0,139.0,0.0,0.0,139.0,2267.2787925000002,80.20087698974179,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,-92.72120749999976,-3.279844623275549,0.041666666666666664,-92.76287416666644,0.0,-92.76287416666644,-3.281318506072389,-92.72120749999976,0.0,0.0,2000.0,0.0,0.0,10948.875224,92.72120749999976,4.381302610644258,680.8645022522525,214.28571428571428,0.0,3.177367677177178,2.83536874681521,0.0,0.0,0.11099999999999999,0.889,13.659141933084326,0.0,8.856047702095452,0.0
8,1444.4059797933255,742.5742574257425,701.8317223675831,78.16089304907223,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.9199999999999999,34.0,17.0,12.0,5.0,3.0,282.7,0.0,0.0,0.0,161.5,0.0,3236.6000000000004,0.0,0.0,1188.3000000000002,1198.8000000000002,849.5,3236.6000000000004,38839.200000000004,95.19411764705883,0.0,0.0,0.0,194.19600000000003,0.06,93.28690350000002,178.01300000000003,16.183000000000003,481.67890350000005,2754.9210965,42.5,54.0,65.0,161.5,0.0,0.0,161.5,2593.4210965,80.12794588457022,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,233.4210965000002,7.211922897485021,0.041666666666666664,233.37942983333355,0.0,233.37942983333355,7.210635538322113,233.4210965000002,0.0,0.0,2000.0,0.0,0.0,13182.2963205,0.0,5.227958088637716,696.5944390276659,214.28571428571428,0.0,3.2507740487957744,2.809306323430027,0.0,0.0,0.1095,0.8905,21.700780343540924,0.0,9.343130325710717,0.0
9,1382.5166183971546,742.5742574257425,639.9423609714121,75.06642497926367,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.98,39.0,19.0,14.0,6.0,3.0,285.5823529411765,0.0,0.0,0.0,188.5,0.0,3746.1000000000004,0.0,0.0,1328.1000000000001,1398.6000000000001,1019.4000000000001,3746.1000000000004,44953.200000000004,96.05384615384617,0.0,0.0,0.0,224.76600000000002,0.06,107.97196725000002,206.03550000000004,18.730500000000003,557.5039672500001,3188.59603275,47.5,63.0,78.0,188.5,0.0,0.0,188.5,3000.09603275,80.08585015749713,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,640.0960327500002,17.086998017938658,0.041666666666666664,640.0543660833335,0.0,640.0543660833335,17.085885750068964,640.0960327500002,0.0,0.0,2000.0,0.0,0.0,15822.39235325,0.0,6.2085118121443985,712.273512048908,187.5,0.0,3.7987920642608426,2.437421975888248,0.0,0.0,0.108,0.892,32.82882586197252,0.0,9.857002493624691,0.0
10,1532.0877265436702,742.5742574257425,789.5134691179278,82.54498038658946,0.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,44.0,22.0,15.0,7.0,4.0,384.21538461538466,0.0,0.0,0.0,213.5,0.0,4225.6,0.0,0.0,1537.8000000000002,1498.5,1189.3,4225.6,50707.200000000004,96.03636363636365,0.0,0.0,0.0,253.536,0.06,121.79235600000003,232.40800000000004,21.128000000000004,628.8643560000002,3596.7356440000003,55.0,67.5,91.0,213.5,0.0,0.0,213.5,3383.2356440000003,80.06521308216584,860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,525.0,300.0,525.0,150.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,1023.2356440000003,24.215156285497923,0.041666666666666664,1023.1939773333337,0.0,1023.1939773333337,24.214170232235272,1023.2356440000003,0.0,0.0,2000.0,0.0,0.0,18845.627997249998,0.0,7.322956284146104,721.987973538199,166.66666666666666,0.0,4.331927841229194,2.167550269913547,0.0,0.0,0.1065,0.8935,37.015134929954826,0.0,10.399137630774135,0.0
