sim,scenario,seed,success,time_elapsed,caixa_final,mrr_final,arr_final,usuarios_final,cac_medio,ltv_medio,churn_medio,margem_bruta_media,ebitda_margin_media,nrr,grr,cohort_m6_retention,payback_meses_medio,roi_total_pct,burn_rate_medio,caixa_minimo,mes_caixa_minimo,runway_final,quebrou,runway_critico,var95_caixa,cvar95_caixa,ltv_cac,caixa_series,mrr_series
0,pessimista,1065992829,True,0.06882262229919434,32140.160085183154,11328.400000000001,135940.80000000002,116,197.56682946967558,508.39233962055084,15.318809697864156,77.52212163278449,-17.182896521749317,1.0,1.0,4.0,3.262538933642298,841.0040021295787,766.7528244974973,-3103.034404737854,24,5.385206933953189,True,True,-1510.3736784396924,-2307.241705769214,2.222481430414408,"[2865.598029273872, 1732.1960585477436, 655.9124761281134, -341.1416597272322, -662.6361334357773, -984.1306071443224, -1248.5066925463698, -1383.4207562693095, -1511.4490068005744, -1510.0152356527317, 6542.855680049971, 1361.5193020728266, 1660.0123706599672, 1918.5454392471077, 2313.42634270503, 2754.6240227759486, 3219.1311494111515, 3830.2586860319593, 4481.81405752355, 5201.797263885924, 6040.440880233902, 6862.393943146165, 7780.734840929211, -3103.034404737854, 7541.023637600053, 3644.234386258113, 5420.740804657735, 7247.987633042963, 9252.010131169758, 11443.12087415294, 13815.430920250295, 16341.715024395715, 26885.098294775104, 24755.340494651922, 28354.571444207202, 32140.160085183154]","[509.5, 509.5, 579.4, 679.3000000000001, 679.3000000000001, 679.3000000000001, 749.2, 919.1000000000001, 919.0, 1088.9, 1258.7, 2757.2, 2857.1000000000004, 2857.1000000000004, 3026.9000000000005, 3166.7000000000003, 3266.6000000000004, 3506.4, 3676.2000000000003, 3846.0000000000005, 4085.8, 4185.7, 4355.5, 4695.2, 4525.3, 6023.8, 6363.4, 6603.200000000001, 6942.800000000001, 7352.400000000001, 7792.0, 8201.5, 8541.2, 10279.400000000001, 10818.900000000001, 11328.400000000001]"
1,pessimista,1066002802,True,0.07717561721801758,40373.0009325555,10628.800000000001,127545.6,112,414.51051879316424,1099.9062422866907,7.104318596710041,80.28169986751055,-14.607297312129548,1.0,1.0,1.7692307692307692,4.494199903089174,91.13750388564793,575.1862456110641,4605.045629141112,1,7.290745948267867,False,True,5826.899145480959,4936.743034505289,3.1580619699294274,"[4605.045629141112, 5268.440439869467, 6013.052047351457, 6815.01283642069, 7827.9581468093365, 8955.601820372467, 10164.462290689233, 11430.671942593242, 12835.44757283813, 14427.340109236036, 14157.79862397482, 14026.823117054484, 14164.181313040803, 14440.105487367999, 14838.469801541878, 15279.480094056635, 15791.13636491227, 16373.438614108783, 17074.937769458316, 17876.43208473597, 18850.38010292028, 19884.36328103271, 21090.800162051797, 10357.272202999002, 11804.996200627964, 13385.21390116358, 15212.583667780338, 17182.634572666095, 19395.785158799383, 21730.81862942657, 24366.260962888533, 27104.424434619494, 30085.68758759799, 33327.39960341126, 36744.25130047206, 40373.0009325555]","[579.4, 649.3000000000001, 749.2, 819.1, 1088.9, 1228.7, 1328.6000000000001, 1398.5, 1568.3, 1808.1000000000001, 1977.9000000000003, 2147.7, 2487.4, 2657.2000000000003, 2897.0, 3066.8, 3236.6000000000004, 3406.4, 3646.2000000000003, 3885.9, 4225.6, 4465.3, 4805.0, 5044.7, 5384.3, 5724.0, 6203.5, 6613.0, 7122.5, 7532.1, 8111.500000000002, 8521.0, 9030.5, 9609.9, 10119.4, 10628.800000000001]"
2,pessimista,1066012775,True,0.08200907707214355,144610.34899295395,71894.4,862732.7999999999,756,240.99125169355906,908.9214511192497,8.647748348319105,79.11119395274257,0.5590751740019102,1.0,1.0,2.25,2.8591494340229695,525.4597874706415,203.03724443571386,4542.815581777893,1,2.370607660223207,False,True,5937.541343920065,4883.49082608374,4.112131259343693,"[4542.815581777893, 5224.166070389586, 6175.333101763557, 7264.035039971328, 8546.787692919637, 10099.356888630226, 11845.976799081353, 13918.929060201497, 16266.95113498924, 18899.11304407766, 19774.78640276216, 20829.50792002242, 22024.015058857018, 23462.073647287692, 25297.734400054986, 27486.37985416031, 29948.747472602256, 40462.91072808291, 39469.26332102284, 44121.9111829873, 49254.77355995739, 55045.90116667366, 61531.69563906458, 64480.542819664624, 68562.73295165664, 70185.71630575317, 73177.69341036238, 77414.7226103924, 83221.43610945824, 90630.84386828152, 99830.63899155016, 110973.81053891286, 125504.6617967393, 131827.8322934718, 144772.01918466092, 144610.34899295395]","[649.3000000000001, 819.1, 1158.8, 1328.6000000000001, 1568.3, 1908.0000000000002, 2147.7, 2557.3, 2896.9, 3306.5, 3816.0000000000005, 4295.5, 4705.0, 5214.5, 5963.700000000001, 6782.9, 7532.1, 8351.2, 11487.900000000001, 12606.7, 13765.500000000002, 15164.000000000002, 16732.4, 18470.5, 22865.9, 25113.6, 27940.600000000002, 30907.500000000004, 34343.90000000001, 38060.0, 42145.700000000004, 46611.0, 51485.799999999996, 58778.200000000004, 65181.50000000001, 71894.4]"
3,pessimista,1066022748,True,0.08578896522521973,9580.00218426469,4525.400000000001,54304.8,46,434.0659389728883,428.73246915843407,18.29472455569453,76.84606551591101,-55.131305315099446,0.8,0.8,1.0833333333333333,5.157776960444122,-37.16665756556384,1327.7895406086566,-721.321051355997,24,3.345639661412489,False,True,318.22597581569886,-245.9924573348767,1.1577088406910407,"[4459.167893812043, 12711.345289016142, 8593.025254556775, 9594.59609656113, 10596.166938565486, 11597.737780569842, 12599.308622574197, 13600.879464578553, 14602.450306582909, 15604.021148587264, 14605.59199059162, 13664.186020400946, 12779.803238015244, 19687.429957021603, 14026.34440202482, 13683.364567831431, 13340.384733638042, 12997.404899444653, 12654.425065251264, 12311.445231057874, 11968.465396864485, 11625.485562671096, 11411.930884138039, -721.321051355997, 229.33613668624366, 367.0614820762771, 347.8559221921839, 8200.962606739175, 3066.8602050879954, 3565.1178034368168, 4063.375401785638, 4561.6330001344595, 5059.890598483281, 13350.15769822416, 8584.167363414257, 9580.00218426469]","[509.5, 509.5, 1188.8, 1188.8, 1188.8, 1188.8, 1188.8, 1188.8, 1188.8, 1188.8, 1188.8, 1258.7, 1328.6000000000001, 1328.6000000000001, 2177.8, 2007.9, 2007.9, 2007.9, 2007.9, 2007.9, 2007.9, 2007.9, 2177.8, 2277.7, 2277.7, 2277.7, 2417.5, 2517.4, 3436.5000000000005, 3436.5000000000005, 3436.5000000000005, 3436.5000000000005, 3436.5000000000005, 3436.5000000000005, 4355.5, 4525.400000000001]"
4,pessimista,1066032721,True,0.06976604461669922,22396.093298269283,6812.9,81754.79999999999,71,351.1389185617647,594.1953028366738,12.950382947449135,78.20497786721714,-43.191955769215916,1.0,1.0,2.0,4.082392676711374,16.233722076122007,898.4513552467056,4888.848913183441,1,5.874114594735967,False,True,5846.297024733651,5333.773369775162,2.0022533363367545,"[4888.848913183441, 5778.6978263668825, 6725.826453846841, 7730.234795623316, 8734.643137399791, 9739.051479176267, 10743.459820952743, 11747.868162729219, 12831.28008455615, 14050.975300730053, 13458.181714135178, 13001.671421887277, 12681.444423986346, 20139.435362992757, 14735.67338109085, 14953.63111348546, 15200.908560176587, 15499.22958691817, 15887.822096594458, 16265.734320567262, 16558.406830243548, 16936.319054216354, 17365.274858239613, 5868.830090855907, 6525.70038645736, 7131.93039635533, 7925.487280650728, 8798.675362177348, 9769.506452347458, 10723.461122568022, 19603.184926927148, 15477.698463345017, 16973.971714059408, 18629.796162005016, 20404.987484348054, 22396.093298269283]","[509.5, 509.5, 579.4, 649.3000000000001, 649.3000000000001, 649.3000000000001, 649.3000000000001, 649.3000000000001, 749.2, 919.0, 1158.8, 1328.6000000000001, 1498.4, 1498.4, 2587.3, 2657.2000000000003, 2727.1, 2827.0, 2996.9, 3066.8, 2996.9, 3066.8, 3166.7000000000003, 3306.5, 3576.3, 3646.2000000000003, 3915.9, 4155.7, 4395.400000000001, 4495.3, 4735.1, 5823.900000000001, 5893.800000000001, 6133.6, 6403.300000000001, 6812.9]"
5,pessimista,1066042694,True,0.07052755355834961,62230.72856045214,8890.7,106688.40000000001,93,314.19095587339694,560.4591649009748,14.20273741673583,78.68173659736833,-15.78613021977301,1.0,1.0,1.5,3.7738074841710483,182.21136900188387,941.5479069654248,4887.439143650787,1,6.466663538162665,False,True,6485.137786659958,5331.65871547618,1.9337495256693615,"[4887.439143650787, 5775.878287301573, 6721.557619779419, 15750.31624481508, 12016.021403477767, 21830.259858856254, 18510.625584250927, 20738.19112081854, 22936.476468559096, 25162.72181629965, 25388.967164040205, 25615.21251178076, 25841.457859521313, 33930.13069696271, 29261.073194799174, 30114.321499650592, 30927.60980450201, 31880.89431506324, 32766.21882562447, 33651.5433361857, 34536.86784674693, 35479.43254613521, 36475.743052538455, 25489.333747768756, 34500.80354672982, 30592.917199070987, 32444.533052963976, 34380.92070971394, 36405.61455113297, 38531.66478708886, 40839.68701472879, 43290.811443920546, 45745.001868954314, 48385.748877352, 51237.748066260785, 62230.72856045214]","[509.5, 509.5, 579.4, 749.2, 1738.2, 1738.2, 2727.1, 2657.2000000000003, 2587.3, 2587.3, 2587.3, 2587.3, 2587.3, 2487.4, 3885.9, 3985.8, 3985.8, 4155.7, 4155.7, 4155.7, 4155.7, 4225.6, 4325.5, 4395.400000000001, 4495.3, 5793.900000000001, 6133.6, 6403.300000000001, 6643.0, 6882.799999999999, 7222.4, 7562.100000000001, 7731.900000000001, 8041.6, 8451.1, 8890.7]"
6,pessimista,1066052667,True,0.08280563354492188,-5562.647275501974,1738.2,20858.4,18,63.60935073773402,408.0402294120673,19.571272490062153,79.14456237162263,-61.41325728597282,0.8,0.8,1.0,11.471849140393013,-101.56618188754945,767.9751918359342,-16072.972397528774,26,0.0,True,True,-15959.013892483208,-16022.723731314236,0.5755404674339701,"[2907.529993259066, 1816.0599865181318, 804.3940266819645, -207.27193315420277, -656.8922637822252, -1106.5125944102476, -1556.13292503827, -2005.7532556662925, -2455.373586294315, -2904.993916922337, -3354.6142475503593, -3804.2345781783815, -4253.854908806404, -4703.475239434426, -5095.906678651084, 2388.486679137176, -3825.3250907075044, -3943.7706532919, -3925.8224231365807, -3907.8741929812613, -4026.319755565657, -4008.3715254103377, -3990.4232952550183, -15972.475065099698, -15954.526834944378, -16072.972397528774, -8121.010478957171, -8045.873357390487, -7890.932188919037, -7735.991020447586, -7523.860960564772, -7231.9268537771895, -6939.992746989607, -6590.869748790661, -6105.352957851999, -5562.647275501974]","[409.6, 409.6, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 509.5, 579.4, 579.4, 1088.9, 919.0, 1088.9, 1088.9, 919.0, 1088.9, 1088.9, 1088.9, 1088.9, 919.0, 1158.8, 1158.8, 1258.7, 1258.7, 1328.6000000000001, 1428.5000000000002, 1428.5000000000002, 1498.4, 1668.3000000000002, 1738.2]"
7,pessimista,1066062640,True,0.09515023231506348,134976.65739911748,60747.2,728966.3999999999,628,225.93051966024473,601.2868517198049,12.81815453538305,77.12115819220361,2.3496520179111937,1.0,1.0,2.5,2.652889175593532,3411.916434977936,448.57741248188967,459.9691287680255,4,3.2194092356662494,False,True,1853.4460394549676,831.2271856925569,2.9164427200294156,"[2995.0694970806217, 2070.4329717342607, 1202.4852426170883, 459.9691287680255, 7593.6295405798965, 2727.0872912344794, 10990.250363779185, 7312.97749844502, 8986.807818410358, 10894.195301248217, 12995.179946958599, 15346.45055177069, 17999.341093257506, 20834.597593846032, 24084.851623567665, 27676.82836376623, 31723.959429709837, 36214.97361762768, 41132.46208605384, 46591.34529172235, 52408.74277789918, 58960.20657134975, 66013.11385303513, 61948.172989598665, 70748.13193618637, 71799.91435292034, 73897.99694593908, 77078.14896820579, 81390.94435205676, 86973.22869033311, 93966.44234929545, 102428.86574044106, 112444.77200025982, 117902.11672516578, 125307.15948557307, 134976.65739911748]","[579.4, 679.3000000000001, 749.2, 919.1000000000001, 1088.9, 3096.8, 3336.5, 5754.000000000001, 6163.6, 6673.1, 7182.6, 7762.000000000002, 8441.300000000001, 9020.7, 9839.800000000001, 10688.900000000001, 11707.9, 12796.800000000001, 13885.600000000002, 15144.400000000001, 16233.2, 17731.700000000004, 19130.2, 20968.300000000003, 23006.2, 25014.200000000004, 27361.700000000004, 29949.1, 32706.2, 35733.100000000006, 39069.600000000006, 42645.9, 46452.0, 50777.50000000001, 55472.700000000004, 60747.2]"
8,pessimista,1066072613,True,0.07143354415893555,154689.71703552932,53145.3,637743.6000000001,547,280.5076670908819,1266.2851161648289,6.210400660497122,80.23850320981666,5.649188027914503,1.0,1.0,3.4705882352941178,3.3902815594380407,567.4571543147055,371.2182455287357,4901.2861111273705,1,4.0827120189178014,False,True,6685.817998104084,5381.412114448255,4.834670585716134,"[4901.2861111273705, 5861.53811776914, 6960.577958215732, 8250.921986102096, 9760.875786083707, 11462.13377350509, 13302.179594731295, 15414.351541687694, 25473.286887107428, 23228.87758283902, 24731.010071910456, 26430.302416031307, 28447.536553492, 30795.26883792748, 33589.73664502203, 36815.576328410585, 40473.09347274863, 44522.02249338069, 49158.82330966363, 54245.863836045406, 59830.00011530204, 66015.16393846234, 72959.59553574209, 68537.96840624472, 76918.51688467163, 86044.13701379884, 96325.99656312371, 99079.19157542229, 103011.3318227898, 107991.68126245023, 114246.40012461938, 121806.35624310205, 130719.56140892707, 141282.04368611504, 147108.5728467612, 154689.71703552932]","[679.3000000000001, 749.2, 919.0, 1158.8, 1428.5000000000002, 1668.3000000000002, 1838.1000000000001, 2177.8, 2417.5, 4425.400000000001, 5104.7, 5684.1, 6363.4, 7112.700000000001, 8031.700000000001, 9020.7, 10039.6, 11028.6, 12247.400000000001, 13406.2, 14595.000000000002, 15923.600000000002, 17522.0, 19090.300000000003, 20858.5, 22656.7, 24974.300000000003, 27321.9, 29939.200000000004, 32526.500000000004, 35383.600000000006, 38410.5, 41577.2, 45183.5, 49059.5, 53145.3]"
9,pessimista,1066082586,True,0.06821393966674805,29725.515271341086,8770.6,105247.20000000001,94,376.7738862826632,1230.7773464113573,6.205632907742629,81.75629545449948,-28.066390008534714,1.0,1.0,2.125,4.217313297967361,46.7729802972545,587.0337574394961,4885.395565508252,1,6.543533394658657,False,True,6183.667372339377,5328.593348262378,3.7403424867674793,"[4885.395565508252, 5771.791131016504, 6658.1866965247555, 7625.844234324692, 8651.357944843492, 9758.133627653977, 10922.765483183326, 12145.25351143154, 13449.003511971438, 14947.630904301399, 14585.376441641909, 14362.240123992968, 14196.95997906289, 14021.855978144038, 14041.629369015247, 14104.600904897005, 14296.626758508175, 14587.650003909408, 15003.133366612876, 15507.711047045757, 16111.2861192687, 16758.059336502192, 17476.03069874623, 6320.959452780335, 7324.798697262715, 8480.937305826843, 9837.288377130933, 11305.978812516769, 12893.619738350882, 14772.678173277292, 16839.788317723178, 18993.334752190163, 21345.036723457757, 23926.847330184177, 26732.155446002893, 29725.515271341086]","[479.5, 479.5, 479.5, 579.4, 649.3000000000001, 749.2, 819.1, 889.0000000000001, 988.9, 1228.7, 1398.5, 1568.3, 1638.2, 1638.2, 1878.0000000000002, 2047.8000000000002, 2287.5, 2527.3, 2797.0, 3036.7000000000003, 3276.5, 3446.3, 3616.1000000000004, 3855.9, 4165.5, 4505.2, 4914.700000000001, 5254.4, 5564.0, 6073.5, 6553.0, 6892.6, 7302.200000000001, 7781.6, 8291.100000000002, 8770.6]"
